Timestep,P(kW)
2012-07-07 06:00:00,0.2269
2012-07-07 06:30:00,0.3062
2012-07-07 07:00:00,0.1639
2012-07-07 07:30:00,0.1595
2012-07-07 08:00:00,0.04630000000000001
2012-07-07 08:30:00,-0.15119999999999997
2012-07-07 09:00:00,-0.2692
2012-07-07 09:30:00,-0.40159999999999996
2012-07-07 10:00:00,-0.4741000000000001
2012-07-07 10:30:00,-0.5547
2012-07-07 11:00:00,-0.6305000000000001
2012-07-07 11:30:00,-0.671
2012-07-07 12:00:00,-0.4978
2012-07-07 12:30:00,-0.4655
2012-07-07 13:00:00,-0.4799
2012-07-07 13:30:00,-0.3085
2012-07-07 14:00:00,-0.32170000000000004
2012-07-07 14:30:00,-0.22819999999999996
2012-07-07 15:00:00,-0.20529999999999998
2012-07-07 15:30:00,-0.10010000000000002
2012-07-07 16:00:00,0.09809999999999997
2012-07-07 16:30:00,0.18649999999999997
2012-07-07 17:00:00,0.3872
2012-07-07 17:30:00,0.4051
2012-07-07 18:00:00,0.3077
2012-07-07 18:30:00,0.4031
2012-07-07 19:00:00,0.2994
2012-07-07 19:30:00,0.3348
2012-07-07 20:00:00,0.341
2012-07-07 20:30:00,0.2978
2012-07-07 21:00:00,0.3595
2012-07-07 21:30:00,0.369
2012-07-07 22:00:00,0.3675
2012-07-07 22:30:00,0.2032
2012-07-07 23:00:00,0.2737
2012-07-07 23:30:00,0.2281
2012-07-08 00:00:00,0.2315
2012-07-08 00:30:00,0.2207
2012-07-08 01:00:00,0.2511
2012-07-08 01:30:00,0.2255
2012-07-08 02:00:00,0.2066
2012-07-08 02:30:00,0.1632
2012-07-08 03:00:00,0.166
2012-07-08 03:30:00,0.1861
2012-07-08 04:00:00,0.1775
2012-07-08 04:30:00,0.1395
2012-07-08 05:00:00,0.1571
2012-07-08 05:30:00,0.1969
2012-07-08 06:00:00,0.2224
2012-07-08 06:30:00,0.5718
